100 500
0 76 45
0 95 79
0 52 51
0 20 28
0 38 43
0 98 66
0 2 31
0 25 13
0 81 17
0 55 77
1 8 2
1 2 15
1 91 15
1 94 40
1 95 32
1 90 34
2 83 44
2 45 23
2 1 15
2 24 8
2 25 65
2 0 31
2 97 90
2 10 63
3 90 3
3 87 82
3 7 87
3 65 2
3 91 32
3 21 71
3 8 39
3 13 40
3 68 31
3 70 1
3 98 26
4 70 99
4 88 24
4 99 80
4 84 28
4 98 54
4 11 14
4 67 43
4 28 51
4 58 67
5 42 88
5 29 97
5 75 69
5 59 89
5 66 38
5 85 10
5 9 55
5 50 18
5 60 48
5 77 44
5 51 68
5 25 83
5 19 97
6 96 81
6 24 94
6 32 98
6 63 82
7 3 87
7 55 8
7 51 88
7 26 84
7 85 65
7 72 11
7 18 77
7 78 6
7 24 39
7 31 93
8 1 2
8 72 17
8 3 39
8 83 62
8 38 67
8 61 23
8 82 21
8 28 73
8 81 4
9 67 12
9 49 19
9 69 40
9 11 3
9 52 81
9 5 55
9 71 34
9 83 13
10 89 52
10 19 67
10 91 38
10 51 92
10 30 40
10 65 45
10 26 27
10 55 42
10 37 3
10 62 86
10 14 32
10 2 63
11 21 62
11 95 61
11 40 30
11 80 75
11 9 3
11 67 27
11 85 11
11 4 14
11 77 65
11 57 58
11 19 14
12 33 73
12 32 91
12 46 84
12 44 40
12 30 89
12 96 23
12 59 54
12 50 91
12 58 27
13 84 77
13 55 11
13 35 13
13 77 85
13 97 51
13 52 14
13 32 26
13 3 40
13 92 72
13 85 45
14 91 33
14 41 28
14 25 9
14 87 22
14 46 14
14 17 91
14 10 32
15 52 17
15 76 89
15 54 84
15 91 86
15 68 92
15 88 85
15 35 78
15 97 83
16 71 71
16 24 75
16 72 5
16 73 66
16 53 15
16 41 40
17 54 71
17 58 87
17 94 78
17 43 16
17 78 87
17 86 3
17 26 86
17 89 65
17 14 91
17 93 27
18 99 86
18 43 3
18 62 17
18 41 73
18 60 88
18 7 77
19 56 51
19 10 67
19 25 81
19 53 43
19 39 63
19 50 53
19 35 88
19 11 14
19 5 97
19 65 19
20 60 82
20 67 44
20 32 99
20 28 55
20 0 28
20 38 82
20 76 38
20 52 29
21 42 3
21 91 76
21 11 62
21 25 57
21 3 71
21 57 72
21 43 55
21 82 54
21 32 90
21 26 28
21 93 1
22 72 95
22 43 50
22 64 40
22 57 9
22 47 42
22 32 97
22 84 28
22 68 20
23 73 50
23 60 57
23 82 47
23 80 57
24 79 42
24 75 11
24 16 75
24 30 9
24 2 8
24 74 1
24 71 72
24 6 94
