20 190
0 16 44
0 15 45
0 18 3
0 14 99
0 19 79
0 9 23
0 1 2
0 17 82
0 13 2
0 4 8
0 5 65
0 10 51
0 7 43
0 2 40
0 11 67
0 6 1
0 8 19
0 12 44
0 3 28
1 8 88
1 0 2
1 5 97
1 14 17
1 13 12
1 11 8
1 19 81
1 10 88
1 15 69
1 9 19
1 2 3
1 4 94
1 17 10
1 6 98
1 16 62
1 7 67
1 12 23
1 3 77
1 18 54
2 16 77
2 6 73
2 17 52
2 3 67
2 11 11
2 18 38
2 4 62
2 10 92
2 7 13
2 15 85
2 19 61
2 8 30
2 9 84
2 1 3
2 13 45
2 5 27
2 0 40
2 12 86
2 14 46
3 19 86
3 10 71
3 11 51
3 14 71
3 2 67
3 4 75
3 18 78
3 8 16
3 15 89
3 12 17
3 17 3
3 5 86
3 13 92
3 7 78
3 1 77
3 16 5
3 6 32
3 0 28
3 9 40
4 14 95
4 8 3
4 15 42
4 12 82
4 13 44
4 6 99
4 18 76
4 11 9
4 3 75
4 2 62
4 0 8
4 9 42
4 5 57
4 16 47
4 1 94
4 7 82
4 10 29
4 17 9
4 19 40
5 9 45
5 16 68
5 14 46
5 1 97
5 8 1
5 6 87
5 17 57
5 19 60
5 13 55
5 12 80
5 0 65
5 4 57
5 18 96
5 11 26
5 7 11
5 15 98
5 2 27
5 3 86
5 10 74
6 2 73
6 12 7
6 9 3
6 11 64
6 17 86
6 18 75
6 4 99
6 15 22
6 5 87
6 8 7
6 7 33
6 16 90
6 13 85
6 14 52
6 19 18
6 1 98
6 10 59
6 0 1
6 3 32
7 13 44
7 9 3
7 11 18
7 8 19
7 10 35
7 6 33
7 2 13
7 14 74
7 5 11
7 15 69
7 0 43
7 18 65
7 16 72
7 19 73
7 1 67
7 3 78
7 4 82
7 12 91
7 17 15
8 4 3
8 1 88
8 7 19
8 5 1
8 19 12
8 6 7
8 3 16
8 11 7
8 12 24
8 16 17
8 2 30
8 17 59
8 13 61
8 15 79
8 9 98
8 10 89
8 14 14
8 18 41
8 0 19
9 5 45
9 7 3
9 0 23
9 6 3
9 19 24
9 18 28
9 17 16
9 4 42
9 12 38
9 14 65
9 1 19
9 2 84
9 16 38
9 8 98
9 15 60
9 11 5
9 13 4
9 10 17
9 3 40
10 18 39
10 11 4
10 3 71
10 15 53
10 19 78
10 17 24
10 16 57
10 12 62
10 13 23
10 7 35
10 2 92
10 0 51
10 1 88
10 14 43
10 6 59
10 5 74
10 8 89
10 4 29
10 9 17
11 16 65
11 17 85
11 10 4
11 7 18
11 3 51
11 6 64
11 19 18
11 2 11
11 4 9
11 1 8
11 8 7
11 18 92
11 5 26
11 13 91
11 15 5
11 12 76
11 9 5
11 0 67
11 14 59
12 10 62
12 6 7
12 4 82
12 16 37
12 19 89
12 15 38
12 13 95
12 5 80
12 8 24
12 9 38
12 17 32
12 3 17
12 14 27
12 1 23
12 18 25
12 11 76
12 2 86
12 7 91
12 0 44
13 15 10
13 16 31
13 7 44
13 10 23
13 4 44
13 1 12
13 0 2
13 5 55
13 12 95
13 14 26
13 6 85
13 8 61
13 2 45
13 11 91
13 19 35
13 3 92
13 9 4
13 17 9
13 18 65
14 4 95
14 18 43
14 0 99
14 5 46
14 3 71
14 1 17
14 16 69
14 13 26
14 7 74
14 6 52
14 17 75
14 9 65
14 10 43
14 12 27
14 19 84
14 15 75
14 8 14
14 2 46
14 11 59
15 13 10
15 0 45
15 4 42
15 10 53
15 19 52
15 6 22
15 16 35
15 12 38
15 3 89
15 1 69
15 2 85
15 17 58
15 7 69
15 8 79
15 5 98
15 14 75
15 11 5
15 9 60
15 18 97
16 2 77
16 0 44
16 11 65
16 13 31
16 17 75
16 10 57
16 5 68
16 12 37
16 15 35
16 6 90
16 19 32
16 18 91
16 14 69
16 8 17
16 4 47
16 9 38
16 7 72
16 1 62
16 3 5
17 11 85
17 10 24
17 16 75
17 2 52
17 6 86
17 0 82
17 19 71
17 5 57
17 9 16
17 15 58
17 8 59
17 14 75
17 12 32
17 1 10
17 3 3
17 18 67
17 4 9
17 7 15
17 13 9
18 0 3
18 10 39
18 14 43
18 6 75
18 4 76
18 9 28
18 2 38
18 19 30
18 3 78
18 16 91
18 11 92
18 5 96
18 7 65
18 17 67
18 12 25
18 8 41
18 15 97
18 1 54
18 13 65
19 3 86
19 10 78
19 0 79
19 15 52
19 11 18
19 17 71
19 9 24
19 12 89
19 8 12
19 18 30
19 5 60
19 16 32
19 1 81
19 2 61
19 6 18
19 14 84
19 7 73
19 13 35
19 4 40
