4039 88234
0 121 8
0 2035 76
0 3037 19
0 2421 26
0 3152 68
0 1745 70
0 519 53
0 3466 14
0 1825 73
0 1059 43
0 2686 30
0 1498 97
0 517 94
0 2409 28
0 2124 22
0 3653 20
0 644 73
0 166 32
0 364 60
0 1145 34
0 2681 4
0 1931 17
0 93 16
0 3747 48
0 1594 71
0 3344 17
0 3451 82
0 2526 33
0 16 39
0 2245 76
0 3085 56
0 3524 19
0 3562 60
0 2110 32
0 2265 12
0 3981 61
0 2009 1
0 2927 53
0 384 54
0 2515 29
0 1195 37
0 2994 80
0 3224 46
0 3035 18
0 2130 20
0 10 98
0 1598 12
0 3926 61
0 1952 40
1 2263 95
1 1488 44
1 2371 17
1 470 1
1 3215 43
1 2911 99
1 2251 42
1 2611 75
1 3575 17
1 553 82
1 945 27
1 710 82
1 3859 100
1 2256 43
1 3038 7
1 1367 89
1 1760 51
1 1511 23
1 76 28
1 1187 54
1 1907 78
1 1327 72
1 1525 74
1 920 32
1 2134 32
1 2354 40
1 675 41
1 74 8
1 3696 71
1 2441 75
1 395 22
1 2331 76
1 316 24
1 3488 45
1 3831 70
1 2444 15
1 2835 4
1 3658 35
1 169 37
2 279 54
2 1465 58
2 3951 31
2 680 73
2 2196 58
2 1459 42
2 2868 31
2 1505 5
2 2891 89
2 2442 15
2 925 51
2 3740 81
2 1066 36
2 434 19
2 918 47
2 173 1
2 3012 74
2 2233 29
2 2680 1
2 196 92
2 1518 55
2 711 50
2 1865 98
2 2567 9
2 322 7
2 3089 7
2 2738 85
2 277 84
2 363 20
2 3248 9
2 933 24
2 2191 43
2 2980 86
2 2822 24
2 1271 68
2 102 30
2 1958 56
2 1487 83
2 2869 80
2 2226 17
2 1898 73
2 1661 58
2 907 9
2 3053 76
3 2407 4
3 65 26
3 2399 60
3 2435 12
3 541 79
3 3558 27
3 1059 80
3 57 99
3 632 29
3 3087 59
3 2538 36
3 15 97
3 3108 72
3 3134 10
3 101 96
3 1113 46
3 699 63
3 2282 38
3 3642 85
3 1043 50
3 2091 23
3 1548 38
3 2822 77
3 2974 91
3 1520 45
3 3266 68
3 899 58
3 3815 44
3 1757 68
3 2724 26
3 1140 38
3 2919 86
3 813 26
3 3534 88
3 3247 87
3 783 22
3 803 75
3 974 98
3 29 60
3 1160 84
3 597 19
4 2505 75
4 481 20
4 2902 80
4 3313 52
4 386 54
4 2735 21
4 2974 39
4 3612 79
4 2453 91
4 1719 93
4 1037 97
4 1563 62
4 3374 70
4 2031 29
4 2360 78
4 3548 57
4 3993 64
4 3717 49
4 19 66
4 1936 39
4 3179 58
4 2256 9
4 1714 61
4 3938 20
4 180 20
4 3371 14
4 354 17
4 1502 88
4 3322 52
4 1575 84
4 3722 76
4 1726 38
4 3982 61
4 2395 89
4 2420 39
4 2785 55
4 1490 50
4 3335 98
4 1361 56
4 3049 73
5 2845 31
5 3107 59
5 767 36
5 232 17
5 1695 78
5 555 72
5 3076 24
5 2817 4
5 1649 29
5 1522 41
5 1496 57
5 945 47
5 1904 29
5 809 24
5 422 50
5 3376 28
5 375 27
5 3536 41
5 1810 40
5 3714 72
5 1300 84
5 449 32
5 3079 42
5 1733 45
5 1848 67
5 661 63
5 4001 41
5 1518 73
5 3522 22
5 3023 37
5 3435 61
5 124 65
5 1212 12
5 901 73
5 2697 56
5 28 94
5 249 12
5 1948 77
5 379 48
5 3905 83
5 2390 21
5 1072 17
5 2634 41
5 158 96
5 3816 23
5 3619 45
5 843 40
5 2341 14
5 3768 52
5 2774 33
5 3259 81
6 2348 61
6 43 77
6 1658 63
6 2499 38
6 159 43
6 970 92
6 164 42
6 122 59
6 2949 1
6 1571 28
6 2628 17
6 3901 99
6 259 74
6 53 77
6 1070 34
6 2469 36
6 3073 34
6 3905 35
6 2333 30
6 823 80
6 1525 97
6 1349 68
6 1028 15
6 679 94
6 917 72
6 1416 48
6 2067 56
6 618 5
6 4036 48
6 2885 39
6 3055 49
6 3401 94
6 1254 38
6 536 89
6 3568 52
6 1189 89
6 1033 41
6 2173 58
6 1142 72
6 1115 7
6 103 18
6 2587 91
6 818 54
6 2719 44
6 419 7
7 819 74
7 2936 73
7 3424 85
7 89 57
7 2245 60
7 2043 68
7 2788 84
7 96 70
7 360 66
7 2325 31
7 1004 71
7 3931 32
7 1588 69
7 48 77
7 2458 34
7 3321 8
7 1984 84
7 770 84
7 3337 36
7 1938 32
7 2401 16
7 1292 72
7 989 94
7 700 90
7 2967 22
7 259 85
7 591 52
7 11 91
7 1619 88
7 2971 46
7 1141 53
7 514 47
7 3945 41
7 1538 26
7 3196 91
7 3597 15
7 1024 3
7 1364 29
7 2133 87
7 2867 73
7 571 43
7 3922 2
7 3868 39
7 434 90
7 1294 28
7 2937 89
8 3078 45
8 596 38
8 2521 80
8 1970 60
8 1569 77
8 175 27
8 146 96
8 2432 91
8 1281 32
8 3632 63
8 3067 35
8 3026 38
8 1403 49
8 888 29
8 2441 43
8 2197 46
8 1520 76
8 1719 73
8 1491 52
8 3716 17
8 3385 96
8 3187 44
8 3575 60
8 259 42
8 1380 21
8 1979 81
8 463 7
8 3966 45
8 1429 70
8 3299 97
8 1396 15
8 3105 21
8 1214 68
8 3820 25
8 250 52
8 2011 28
8 248 70
8 3513 54
8 2732 83
8 1674 58
8 3428 64
8 3374 64
8 3218 14
8 1981 2
8 2784 97
8 3597 92
8 3178 42
8 1398 97
8 249 87
8 3517 69
8 322 76
9 560 21
9 158 38
9 1729 95
9 1486 81
9 546 48
9 2953 39
9 1788 9
9 1035 32
9 3790 82
9 1358 83
9 786 91
9 2395 20
9 1863 2
9 2487 7
9 638 62
9 1838 57
9 1941 37
9 3449 40
9 253 88
9 364 9
9 2714 8
9 3128 9
9 552 35
9 3411 62
9 165 87
9 2830 99
9 2667 46
9 3990 17
9 2323 80
9 2220 54
9 491 31
9 2862 38
9 1043 66
10 1088 64
10 3114 37
10 3896 73
10 3992 44
10 92 17
10 1797 20
10 2319 57
10 2268 81
10 3668 16
10 2631 74
10 3559 2
10 2811 34
10 3046 88
10 108 11
10 3054 8
10 703 5
10 2614 71
10 347 35
10 1715 93
10 3336 93
10 2915 89
10 3216 55
10 3286 70
10 263 27
10 1668 99
10 3652 33
10 455 64
10 3602 86
10 1078 76
10 2131 3
10 3505 14
10 861 64
10 21 10
10 1286 14
10 1368 67
10 3474 23
10 1271 82
10 2730 66
10 791 23
10 3525 7
10 2910 32
10 3372 87
10 1567 61
10 2149 72
10 1225 1
10 1386 55
10 232 33
10 574 6
10 906 15
10 3794 76
10 3883 100
10 3188 7
10 3804 7
10 523 31
10 0 98
10 3910 1
10 393 71
11 1541 10
11 938 76
11 2731 59
11 2398 12
11 2255 45
11 950 76
11 166 99
11 3344 99
11 2921 16
11 1671 98
11 2767 8
11 3934 40
11 3113 63
11 1916 52
11 1317 38
11 1309 35
11 2761 89
11 3678 64
11 248 50
11 155 21
11 3137 6
11 2526 16
11 3182 80
11 1502 45
11 3520 22
11 7 91
11 3339 59
11 2180 82
11 2466 7
11 25 87
11 2452 8
11 2587 49
11 261 78
11 757 3
11 1795 84
11 3831 55
11 2630 92
11 3890 72
11 2588 33
11 727 21
11 67 35
12 579 26
12 543 82
12 1529 94
12 578 60
12 1073 67
12 3137 55
12 3990 34
12 3568 4
12 1243 10
12 250 16
12 2891 30
12 1652 65
12 3609 66
12 1849 43
12 1245 64
12 2219 6
12 3100 14
12 1888 62
12 1507 24
12 1462 53
12 2185 23
12 2718 21
12 3545 6
12 2354 21
12 2584 46
12 2312 88
12 421 34
12 731 79
12 1027 41
12 2582 89
12 3344 65
12 1415 79
12 1048 51
12 3691 6
12 3900 90
12 2613 28
12 1560 61
12 2934 51
12 1678 85
12 328 33
12 2468 21
12 2656 40
12 638 20
12 207 7
12 1361 51
12 839 8
12 3113 92
12 2713 77
12 922 34
12 1188 64
12 1503 78
13 3272 17
13 1482 29
13 2734 84
13 539 47
13 1600 3
13 443 51
13 94 59
13 763 94
13 429 34
13 2113 47
13 2593 28
13 1418 1
13 2648 16
13 1376 17
13 2077 77
13 3982 77
13 382 46
13 3393 48
13 2535 71
13 1173 24
13 3247 49
13 3275 80
13 643 45
13 3575 18
13 482 25
13 224 28
13 2104 29
13 1672 77
13 1640 38
13 3564 83
13 109 76
13 1983 71
13 2727 91
13 723 31
13 2052 22
13 2995 86
13 2180 77
13 3577 57
13 3276 28
13 3252 89
13 3391 39
13 3155 86
13 1004 26
13 3795 51
13 966 15
13 848 6
13 3422 31
13 2931 14
13 556 64
13 3001 78
14 1571 43
14 1028 13
14 1452 55
14 641 1
14 3024 42
14 2953 35
14 646 41
14 2023 81
14 2886 47
14 3834 72
14 497 32
