4039 88234
0 121 1960
0 2035 3367
0 622 4827
0 751 6615
0 2421 7105
0 3152 7936
0 63 10185
0 3847 12605
0 1787 16884
0 1810 19481
0 519 19690
0 3466 20941
0 3168 22553
0 1728 25581
0 3572 26163
0 2686 27388
0 1303 27626
0 517 28435
0 1118 29748
0 864 30461
0 3653 31009
0 1107 36369
0 644 37189
0 1825 41359
0 166 41575
0 2415 44298
0 1361 46200
0 2681 50029
0 686 50346
0 1775 51233
0 93 54748
0 2167 62745
0 2749 64595
0 2831 67221
0 1893 70344
0 674 71751
0 3451 72847
0 2526 73987
0 16 77167
0 290 80303
0 3085 80863
0 2966 81411
0 3367 82322
0 3524 84337
1 1245 1937
1 1729 2193
1 2263 3097
1 2703 5060
1 2045 6012
1 1488 11170
1 2371 14491
1 3627 16439
1 1974 18338
1 4010 19190
1 3008 21345
1 3215 21523
1 3891 25716
1 2911 27583
1 2251 28927
1 2930 29723
1 1525 30161
1 3575 30595
1 3278 31656
1 1052 31716
1 1464 35499
1 710 36841
1 2732 36935
1 307 50270
1 4037 52266
1 1701 54960
1 3038 58117
1 2253 58128
1 3985 59528
1 2496 59637
1 1259 61349
1 2076 61829
1 1918 63752
1 1511 63778
1 1028 69942
1 76 72955
1 718 76877
1 1907 80293
1 1327 80416
1 2590 80913
1 1338 81987
1 2983 87993
2 169 578
2 279 2665
2 1243 4565
2 1465 5968
2 2160 10272
2 597 12149
2 558 12252
2 1725 12959
2 2942 14520
2 2331 15378
2 1459 18445
2 2868 18952
2 595 22919
2 1505 23305
2 1153 23411
2 2891 24148
2 2442 27592
2 925 37624
2 4003 39824
2 2452 43196
2 2384 45425
2 191 46602
2 3252 46869
2 1066 49264
2 434 52102
2 918 52123
2 33 52962
2 2040 55005
2 3012 55588
2 2233 55918
2 3462 58406
2 196 60724
2 2213 60846
2 711 61339
2 3958 61794
2 3745 62012
2 322 66046
2 3089 69424
2 2738 70495
2 3756 72401
2 363 75211
2 3248 78118
2 3694 79991
2 972 81776
2 933 84580
2 1151 85364
2 2980 87013
3 2134 252
3 603 3371
3 1660 4554
3 1036 4974
3 3295 5624
3 3137 6177
3 1884 9290
3 3178 11019
3 1536 13320
3 1066 13353
3 947 13920
3 1899 15219
3 1059 16591
3 86 16808
3 1057 18410
3 3599 19334
3 926 19734
3 885 22578
3 1590 23339
3 2582 24495
3 3489 26585
3 1302 28094
3 15 29014
3 3108 30442
3 3134 30559
3 3861 32205
3 735 33038
3 2533 38754
3 1602 39623
3 1621 41351
3 3642 43972
3 1994 49959
3 2091 50953
3 2774 52121
3 3577 52314
3 3099 61017
3 1504 61461
3 3641 61701
3 426 63110
3 1149 64640
3 3886 65339
3 999 65771
3 2331 68976
3 460 72428
3 3867 73413
3 2309 80942
3 2739 83487
4 3601 2964
4 2340 3549
4 2505 4027
4 481 4036
4 750 6038
4 2898 6056
4 771 6494
4 386 6910
4 3062 8955
4 2735 9025
4 779 9575
4 2100 10637
4 1389 11291
4 2453 11587
4 1719 11980
4 3551 13007
4 1197 13322
4 1844 13691
4 2131 19005
4 1911 23763
4 2179 24326
4 1148 27630
4 897 29535
4 1092 32999
4 1887 33234
4 2411 34098
4 2360 35263
4 1952 36398
4 2579 40278
4 3717 48022
4 1771 49758
4 19 50569
4 1936 53140
4 3179 54343
4 405 54962
4 2361 55070
4 346 55734
4 1714 56092
4 3938 57067
4 2318 62270
4 1568 62282
4 2867 69063
4 180 72262
4 3371 73177
4 354 78385
4 1502 80860
4 3322 82438
4 1557 82961
4 3722 86782
4 1367 87906
5 2845 826
5 2347 2421
5 767 3535
5 1958 5135
5 232 8212
5 1695 10030
5 1274 10931
5 959 11955
5 123 16382
5 2817 17461
5 81 18471
5 1545 19556
5 236 20615
5 2564 21822
5 932 23274
5 1623 24963
5 2291 25563
5 1504 26156
5 3762 27359
5 991 29376
5 1904 29431
5 935 30396
5 2015 30894
5 1106 31032
5 375 35065
5 2816 38372
5 1810 39577
5 1710 40407
5 2676 41171
5 3714 42988
5 3353 43482
5 1272 48339
5 51 52178
5 3079 52291
5 3476 54128
5 2684 56064
5 2822 57377
5 4001 57394
5 2349 58463
5 1518 58483
5 494 62624
5 1240 63375
5 3610 63908
5 773 64817
5 3043 65649
5 3435 66157
5 1165 66222
5 671 66420
5 25 68801
5 3657 72257
5 901 72895
5 2697 74977
5 3757 77400
5 2624 82680
5 1634 84608
5 249 87226
6 3482 5897
6 3104 7071
6 2525 7728
6 1497 8160
6 179 17642
6 756 18110
6 159 18643
6 1718 20078
6 359 25476
6 2585 25914
6 3853 26651
6 2382 35877
6 1926 36884
6 1130 42042
6 2628 49534
6 3901 50359
6 259 50407
6 1500 50576
6 53 52489
6 1615 54756
6 1070 58534
6 1443 65544
6 1357 67923
6 42 71957
6 1592 72069
6 2333 73867
6 3376 74423
6 1525 77617
6 3044 77768
6 573 79173
6 104 84734
6 2990 86003
6 1416 86698
6 2067 88528
7 1260 1187
7 819 4681
7 2936 4999
7 3424 5047
7 2280 6102
7 2245 8827
7 2732 10266
7 1886 10986
7 3375 11085
7 1223 12137
7 3236 14843
7 2152 15362
7 2839 20595
7 3845 23882
7 3238 28754
7 1588 31063
7 876 32811
7 48 34780
7 2458 35551
7 3321 38521
7 1984 38995
7 20 41994
7 3392 42999
7 3162 43293
7 3337 45058
7 1938 45271
7 168 45342
7 39 45420
7 948 47928
7 2401 48934
7 2880 50994
7 1450 51248
7 2267 56358
7 66 61106
7 3793 62280
7 3612 62610
7 2175 62840
7 3384 63884
7 2094 65490
7 11 65557
7 772 65708
7 128 66431
7 2971 68023
7 1699 70730
7 1530 71642
7 514 73249
7 2508 79065
7 3945 79912
7 1026 80069
7 1538 81049
7 1143 85563
7 3641 86031
7 592 86646
7 3747 87453
8 3078 7
8 67 2423
8 596 8335
8 2006 9096
8 2521 11263
8 1970 12670
8 1617 14145
8 3071 15105
8 175 15640
8 146 16648
8 2432 17689
8 1281 20293
8 1525 22092
8 3632 23005
8 1387 28425
8 3026 28957
8 1403 39007
8 1147 39924
8 2441 41875
8 2269 42035
8 1760 42350
8 812 42638
8 3142 43868
8 2072 45258
8 3716 46069
8 3840 47781
8 3187 48373
8 1461 53381
8 3575 53410
8 2508 54668
8 684 54785
8 259 55831
8 3517 56123
8 1979 57421
8 3290 57903
8 263 58392
8 3670 58461
8 1360 61101
8 115 64121
8 3406 69455
8 3755 71715
8 2790 74514
8 3299 75007
8 575 75042
8 3105 75091
8 3373 75341
8 1770 75611
8 2190 79284
8 2079 79323
8 1875 82658
9 560 3877
9 231 9923
9 2565 14541
9 3801 16443
9 2753 18386
9 2406 18711
9 1486 18826
9 546 18961
9 882 20978
9 1788 23446
9 1035 27304
9 3922 28398
9 3790 34528
9 3786 37922
9 1616 39849
9 3498 40859
9 476 43836
9 1444 46949
9 3709 49880
9 1166 51171
9 3282 53064
9 1358 57865
9 3579 59576
9 782 62676
9 1545 64541
9 1863 68077
9 1964 72336
9 2487 76231
9 3693 76329
9 638 79483
9 1838 80977
9 1941 81199
9 3303 82430
9 1767 84260
10 3998 1773
10 1088 2914
10 438 3596
10 1999 6476
10 3670 6546
10 2943 6744
10 1765 6963
10 568 7319
10 773 7923
10 3967 9381
10 2319 9877
10 3248 10653
10 636 14496
10 2631 16357
10 74 21765
10 2811 22582
10 3046 26500
10 108 27064
10 1711 30453
10 314 31797
10 2071 32174
10 243 35262
10 2841 35868
10 347 35926
10 1715 35995
10 4016 41958
10 3336 43249
10 3564 45849
10 2216 46191
10 2798 47289
10 2427 53882
10 1668 55351
10 3652 57535
10 455 60211
10 3602 60280
10 2946 65597
10 2131 68818
10 561 70839
10 861 74527
10 672 75968
10 21 76666
10 1286 76789
10 3029 76821
10 2114 77354
10 3474 81910
10 1271 82765
10 2730 83401
10 2020 84914
10 4020 85958
10 569 87629
11 2032 1586
11 3363 2231
11 3054 5739
11 1340 8310
11 2596 10355
11 2667 10442
11 521 14279
11 1560 14745
11 452 15612
11 1791 16383
11 3148 17819
11 2255 18493
11 3041 18834
11 3171 19634
11 367 19673
11 2010 19817
11 1458 21752
11 3154 23679
11 4027 26231
11 3344 26524
11 1726 30119
11 1215 30276
11 3926 32733
11 312 34407
11 3934 36607
11 3113 38911
11 1916 40612
11 894 41762
11 1309 47437
11 2761 47758
11 3678 48418
11 1996 49059
11 814 55701
11 221 57804
11 710 60354
11 1467 61740
11 3162 61802
11 3228 62607
11 1502 62905
11 3520 63652
11 3488 64839
11 7 65557
11 17 67778
11 3274 68721
11 278 82164
11 2777 83783
11 25 86203
12 275 843
12 579 2236
12 271 4769
12 3795 5115
12 1618 8511
12 578 9385
12 2792 10739
12 3238 14171
12 3006 15821
12 3568 17056
12 3579 19836
12 3511 20484
12 380 21873
12 1615 22292
12 2891 27982
12 3790 29841
12 1612 30233
12 1912 31205
12 2643 34797
12 3609 35539
12 1725 36666
12 419 38366
12 2936 38562
12 3922 39207
12 2219 42121
12 3100 42313
12 2103 43845
12 1126 44798
12 1507 49702
12 1302 53190
12 1462 54187
12 1943 56303
12 2718 56605
12 238 57279
12 996 58625
12 1361 59051
12 1839 60642
12 389 69539
12 46 70139
12 1454 71168
12 1623 75072
12 3563 75735
12 3789 75995
12 1415 78259
12 1048 84061
12 3691 84394
12 525 84962
12 1499 85910
12 2613 86095
12 1560 87214
12 2069 88004
13 3272 733
13 3774 2558
13 2662 5166
13 1482 5332
13 2734 6517
13 1881 6735
13 1600 6976
13 1686 7109
13 94 8152
13 14 11337
13 2029 12077
13 2641 14081
13 2113 15094
13 3628 18380
13 31 20259
13 925 28308
13 343 28850
13 3873 31541
13 1641 35942
13 3083 36590
13 2052 37014
13 1286 42101
13 382 42391
13 1308 43004
13 3393 44293
13 4026 44502
13 2535 46405
13 1110 51377
13 3311 52404
13 1173 52792
13 2565 53786
13 3203 55215
13 1799 56382
13 720 56910
13 2569 57275
13 1092 59634
13 3949 61515
13 3616 67257
13 463 70172
13 3931 70538
13 2104 71995
13 3072 73053
13 1500 75846
13 3985 79907
13 3062 85776
13 2851 87414
13 2727 87520
13 1211 87918
14 1451 266
14 1028 685
14 1501 6719
14 1452 7207
14 13 11337
14 3024 11899
14 2953 26908
14 842 30704
14 3542 31368
14 646 34033
14 2023 34846
14 1805 35495
14 1892 40560
14 3130 41945
14 3317 41978
14 3663 43241
14 978 46843
14 1575 47459
14 2603 50176
14 1611 51584
14 83 52890
14 2010 54938
14 3786 56021
14 3591 57522
14 3879 59891
14 283 61440
14 1990 62235
14 3877 65693
14 802 67073
14 1524 68026
14 953 70534
14 1523 70578
14 2027 71380
14 2395 74456
14 3168 78365
14 3270 78948
14 343 79814
14 1338 81279
14 1470 82289
14 176 82518
14 322 83263
14 3633 83313
14 2827 85393
14 3721 86655
15 1121 258
15 1489 4153
15 1402 4720
15 3636 5062
15 276 8428
15 1088 8436
15 2826 9031
15 101 11236
15 338 20994
15 978 22022
15 1101 22748
15 3321 24484
15 2640 24764
15 3387 25593
15 308 27183
15 3 29014
15 4034 29388
15 1970 30850
15 820 34280
15 273 35014
15 2338 36089
15 2965 40238
15 1832 48711
15 3193 56694
15 1589 58664
15 1015 58978
15 3799 60840
15 2297 66148
15 3859 68206
15 3638 68978
15 1076 69225
15 1317 71893
15 344 75730
15 1687 75754
15 3098 76842
15 3691 79260
15 257 79616
16 766 233
16 1246 4597
16 2956 6388
16 3188 7568
16 359 8206
16 2463 8917
16 787 9012
16 3162 9023
16 4009 13199
16 2171 14992
16 1997 16069
16 3458 18776
16 156 19604
16 2150 20325
16 2820 22498
16 215 23226
16 2071 24225
16 1408 24291
16 274 24819
16 1137 31820
16 3421 41253
16 578 46600
16 54 46799
16 2215 47257
16 2907 48914
16 3218 60076
16 1901 64757
16 109 65130
16 498 66007
16 3224 66034
16 833 68959
16 923 73741
16 2609 77145
16 0 77167
16 992 78423
16 497 79695
16 3544 82040
16 1085 82278
16 3640 82594
16 666 85381
16 2127 86391
17 80 523
17 72 1593
17 1361 1625
17 73 2255
17 3349 4767
17 2027 7989
17 2597 9030
17 839 9402
17 321 9740
17 532 10961
17 3724 11503
17 3912 13843
17 1313 14908
17 1653 16322
17 2217 16726
17 1631 16910
17 3577 17908
17 3401 22559
17 3274 25267
17 1202 25340
17 414 28848
17 3033 29416
17 3291 37589
17 3991 40111
17 3716 41609
17 2629 46294
17 2106 49085
17 2673 50573
